panel,x,metric,mean,ci_lower,ci_upper
a_reuse,1,score_auc,0.4996648042457296,0.49964388835189527,0.49968572013956397
a_reuse,1,frequency_auc,0.497906394015054,0.49784915760476034,0.49796363042534764
a_reuse,1,coalition_mean_score,0.09446624865611733,0.0918579973708332,0.09707449994140147
a_reuse,2,score_auc,0.5752201595826173,0.5728818478386636,0.577558471326571
a_reuse,2,frequency_auc,0.997881983987855,0.9978235088179608,0.9979404591577492
a_reuse,2,coalition_mean_score,0.18893249731223466,0.1837159947416664,0.19414899988280293
a_reuse,4,score_auc,0.6559325232448329,0.6513786808306613,0.6604863656590044
a_reuse,4,frequency_auc,0.9999982565369798,0.9999967759263333,0.9999997371476264
a_reuse,4,coalition_mean_score,0.3778649946244693,0.3674319894833328,0.38829799976560586
a_reuse,8,score_auc,0.7499435452900514,0.7424552401857223,0.7574318503943804
a_reuse,8,frequency_auc,1.0,1.0,1.0
a_reuse,8,coalition_mean_score,0.7557299892489386,0.7348639789666656,0.7765959995312117
a_reuse,16,score_auc,0.8553699567340708,0.8435892401276615,0.8671506733404801
a_reuse,16,frequency_auc,1.0,1.0,1.0
a_reuse,16,coalition_mean_score,1.5114599784978773,1.469727957933331,1.5531919990624234
b_matched,Frequency,auc,0.5,0.5,0.5
b_matched,Counterfactual,auc,0.7943999999999999,0.7856414224751749,0.8031585775248249
b_matched,Raw world,auc,0.7933450666666667,0.7859326690249537,0.8007574643083797
b_matched,Predictive,auc,0.8010506666666668,0.7934653145995434,0.8086360187337902
c_shape,Frequency,auc,0.5,0.5,0.5
c_shape,Mean,auc,0.5,0.5,0.5
c_shape,W1,auc,0.8907999999999999,0.8823403196407104,0.8992596803592895
c_shape,JS,auc,0.9602666666666665,0.9547621770444369,0.9657711562888961
