horizon,raw_mean,raw_ci_lower,raw_ci_upper,centered_mean,centered_ci_lower,centered_ci_upper
1,0.04394326465126034,0.039605986,0.048310205,-0.001428899140963249,-0.0057666246,0.002955056
2,0.09037120767583784,0.08398374,0.09663502,-0.00018003813795348055,-0.0065350453,0.006062932
3,0.13357019760540914,0.1253978,0.14204124,-0.002258379345617171,-0.010523744,0.0061401306
4,0.17496630271459013,0.16651812,0.18386148,-0.0061780457786216785,-0.0146844555,0.0027043268
5,0.22314622839975334,0.21075857,0.23716174,-0.0030612749639199297,-0.015505025,0.010940866
6,0.2710098245981088,0.25702706,0.28614378,-0.00040801041477147145,-0.014286408,0.0147091625
7,0.31791078974699344,0.302785,0.33380765,0.0010615189929454529,-0.01412145,0.017154805
8,0.3618215240204312,0.3454263,0.3787121,-0.0005970043746235458,-0.016487202,0.016458461
9,0.4143885086002936,0.39862472,0.43046743,0.006559286595964382,-0.008504818,0.022720352
10,0.4549630245748205,0.43801162,0.47125044,0.0016976177514933346,-0.014476358,0.018233119
11,0.5015041250679104,0.48318657,0.5191557,0.0027153604752084845,-0.014202118,0.020565145
12,0.5450149037439174,0.52861035,0.56124234,0.0011294450834790776,-0.014706834,0.017701667
13,0.5867632293673064,0.5711445,0.60245544,-0.002362266945412225,-0.017630858,0.013769557
14,0.6295568732983429,0.6147572,0.6442167,-0.005046914961067276,-0.01935719,0.009992562
15,0.6765977518574723,0.6591372,0.6938247,-0.003321275015111508,-0.020662988,0.01430501
16,0.7191542977397289,0.69983304,0.7383013,-0.00606544841196151,-0.025254421,0.013225467
17,0.7630283150836942,0.74399865,0.7821933,-0.007698406149469286,-0.026808966,0.01140069
18,0.8138519447457336,0.7926163,0.8344749,-0.0020907706180003077,-0.023202157,0.018478438
19,0.8563292859147437,0.83417296,0.8779967,-0.005191560063811179,-0.027038136,0.01672716
20,0.9029394577073827,0.87993914,0.9253418,-0.00409427452596081,-0.026932659,0.018206699
21,0.9498670277196567,0.9260825,0.9732564,-0.0024646995513718686,-0.026128227,0.021013726
22,0.9961673161457352,0.9718525,1.020777,-0.0015210241004851518,-0.025532376,0.022476764
23,1.0382928388142458,1.0144821,1.0622475,-0.0046210724698610844,-0.027795786,0.0190524
24,1.085548511035458,1.0638021,1.1069794,-0.002827959855898357,-0.023802064,0.018915648
25,1.1333126458755198,1.1127154,1.1532577,-0.00030725056114799045,-0.020617891,0.019997535
26,1.180352444354907,1.1589464,1.2015857,0.0013311607804722824,-0.019595163,0.022956317
27,1.226397578273461,1.2039431,1.2487185,0.0020725234999900365,-0.019810336,0.024638865
28,1.2674277778749472,1.2446687,1.290321,-0.00236889601795326,-0.024934588,0.020856917
29,1.3169946880122465,1.2906736,1.3432027,0.0021745012053256945,-0.023846814,0.028369246
30,1.3616083801238177,1.3348076,1.3882537,0.001602641997889123,-0.024781251,0.028275061
31,1.4070357803958509,1.3787334,1.4355711,0.001586432034211674,-0.026673818,0.029956503
32,1.459500272345662,1.4305722,1.4883305,0.008849867201785148,-0.020101996,0.03726526
33,1.507471933271051,1.4778622,1.5369216,0.011767599319473777,-0.01731759,0.041094832
34,1.5512416006672785,1.5214801,1.5815827,0.010376904312384494,-0.019371685,0.04043578
35,1.5955396492199012,1.5626308,1.6278521,0.009449195027499857,-0.022806164,0.04167419
36,1.63804217459473,1.6065893,1.6697432,0.006640884447693759,-0.024020586,0.03759395
37,1.6862695869153148,1.6534982,1.7192459,0.009246140125798401,-0.022509677,0.041426145
38,1.7308672459818124,1.6960667,1.7656664,0.00829834632842623,-0.025352113,0.042348374
39,1.7789247986087657,1.7418605,1.8159192,0.011227009777301705,-0.024790214,0.04781009
40,1.8248198635111756,1.7872015,1.8624651,0.011847113166675076,-0.02463075,0.048768416
41,1.8725661897403845,1.8354094,1.909776,0.01412794487564554,-0.022244008,0.05115987
42,1.9205481412610212,1.8823552,1.9591202,0.017141790528486252,-0.02019488,0.05502242
43,1.9652876154068957,1.9255198,2.005707,0.016683413306397443,-0.021398112,0.05582555
44,2.013929929220913,1.9728788,2.05532,0.020061884469738236,-0.01947798,0.060491536
45,2.0576496453912587,2.016121,2.0999956,0.018450194859981714,-0.021927161,0.059781533
46,2.105413276379612,2.0614152,2.1499658,0.02088679142190986,-0.021978494,0.06384753
47,2.1495978098071387,2.1066854,2.192721,0.01955259989359271,-0.022347305,0.06161888
48,2.192315189788334,2.1482222,2.23627,0.017167128255871723,-0.025684614,0.059470695
49,2.237696970689218,2.1941524,2.2814434,0.017068516999305703,-0.025704136,0.059182394
50,2.284986754974889,2.24,2.329629,0.019030712395424577,-0.024699923,0.063173324
51,2.33582695958046,2.2899601,2.3805876,0.024910767012753816,-0.019715263,0.069130026
52,2.3792743730765364,2.3332238,2.4242294,0.02285607929889628,-0.0215641,0.067023635
53,2.4205084182704124,2.3746228,2.4659543,0.019029221743671648,-0.02568772,0.06322434
54,2.462537143854168,2.4164267,2.5077684,0.01606608747507319,-0.02845726,0.060614686
55,2.5098361373592017,2.4636056,2.554977,0.01822021891279605,-0.026873793,0.062940896
56,2.5566065513253724,2.5107126,2.6010263,0.019591714637400115,-0.025601044,0.064012714
57,2.6007324999097188,2.5545936,2.6457539,0.01857501954693024,-0.026039539,0.06323693
58,2.6522008581881793,2.6053135,2.6977265,0.024820360242582436,-0.021035142,0.06987421
59,2.6971032079860255,2.6488316,2.7437236,0.024449649274622468,-0.022857951,0.07072351
60,2.7415027784920913,2.692503,2.7905338,0.02379958644876614,-0.023957364,0.072110966
61,2.7909467787697095,2.7427197,2.8385606,0.027920038353223642,-0.018934194,0.07538323
62,2.8377656738519974,2.7889814,2.8850105,0.029320784998954564,-0.017998198,0.07697637
63,2.8813732431703456,2.8336916,2.9278803,0.027358464682923498,-0.018672748,0.07353901
64,2.9312075597008436,2.8844109,2.9777384,0.031954714624477305,-0.013094712,0.07805261
65,2.9728248643560518,2.9263783,3.0194416,0.0283977702799925,-0.016946929,0.074457064
