requested_R_exp,requested_p_on,n_seeds,realized_R_exp_mean,realized_R_exp_ci_lower,realized_R_exp_ci_upper,realized_R_exp_n_finite,realized_R_exp_status,realized_p_on_mean,realized_p_on_ci_lower,realized_p_on_ci_upper,realized_p_on_n_finite,realized_p_on_status,mean_signed_increment_mean,mean_signed_increment_ci_lower,mean_signed_increment_ci_upper,mean_signed_increment_n_finite,mean_signed_increment_status,mean_active_increment_mean,mean_active_increment_ci_lower,mean_active_increment_ci_upper,mean_active_increment_n_finite,mean_active_increment_status,mean_inactive_increment_mean,mean_inactive_increment_ci_lower,mean_inactive_increment_ci_upper,mean_inactive_increment_n_finite,mean_inactive_increment_status,mean_score_gap_mean,mean_score_gap_ci_lower,mean_score_gap_ci_upper,mean_score_gap_n_finite,mean_score_gap_status,frequency_auc_mean,frequency_auc_ci_lower,frequency_auc_ci_upper,frequency_auc_n_finite,frequency_auc_status,score_auc_mean,score_auc_ci_lower,score_auc_ci_upper,score_auc_n_finite,score_auc_status,matched_pair_misordering_mean,matched_pair_misordering_ci_lower,matched_pair_misordering_ci_upper,matched_pair_misordering_n_finite,matched_pair_misordering_status
0.25,0.1,30,0.2505567301493755,0.24606464524595997,0.2550466295252118,30,ok,0.10022500000000001,0.09837479166666664,0.10207499999999999,30,ok,0.006330093547948944,0.006150999799653493,0.006500004634569972,30,ok,0.06270475697577678,0.062164375862028866,0.06323021239831486,30,ok,5.1452491329328624e-05,-4.5583025563958896e-05,0.00014509060951378873,30,ok,1.5018826744226381,1.474761031628501,1.5284595417197375,30,ok,0.0,0.0,0.0,30,ok,0.9999199999999998,0.9998978333333336,0.9999406666666668,30,ok,0.0001,3.3333333333333335e-05,0.00018333333333333334,30,ok
0.25,0.2,30,0.24905851793281333,0.2466198607103347,0.25143048007147273,30,ok,0.19925,0.19733333333333333,0.20115854166666675,30,ok,0.004690402469113189,0.004560966823706593,0.00481081948744312,30,ok,0.02328931943266826,0.02294518761011843,0.023609081050540992,30,ok,6.367541921902121e-05,-4.2299026581167805e-05,0.00016713373346928178,30,ok,0.17809254794331159,0.16513645170533295,0.1907401535268502,30,ok,0.0,0.0,0.0,30,ok,0.7245795000000002,0.7097041958333333,0.7389791729166666,30,ok,0.27276666666666666,0.2572491666666667,0.28818333333333335,30,ok
0.25,0.3,30,0.2510299660781942,0.24893659550361244,0.25307106017419895,30,ok,0.2997416666666667,0.29716666666666663,0.30214187499999995,30,ok,0.003556560736484699,0.003453952762108677,0.003654778938888757,30,ok,0.011681902761302482,0.011451802543904393,0.011911287181115187,30,ok,8.043695866649004e-05,-2.584619716347301e-05,0.0001870972686323382,30,ok,-0.09925485373343206,-0.1111340601827776,-0.08694069685253408,30,ok,0.0,0.0,0.0,30,ok,0.36322096083333333,0.34695978827083324,0.3800339443958334,30,ok,0.6362666666666666,0.6187500000000001,0.6527166666666664,30,ok
0.25,0.4,30,0.2499338494728218,0.24827205072600306,0.25154351942414305,30,ok,0.39989999999999987,0.397225,0.40248333333333336,30,ok,0.002812970499293138,0.0027187809846753006,0.002902679752755911,30,ok,0.00687798860901389,0.006700414116168252,0.0070675260117906875,30,ok,0.00010515013027211358,-1.319754203991761e-05,0.00022077101391553686,30,ok,-0.1744403628986267,-0.18581093435745769,-0.16310503504369334,30,ok,0.0,0.0,0.0,30,ok,0.25367558333333334,0.23978870208333336,0.2681150635416667,30,ok,0.7467166666666665,0.7330995833333335,0.7607004166666667,30,ok
0.25,0.5,30,0.25054202941086173,0.24916203164531878,0.25195680598516074,30,ok,0.5010916666666667,0.49826666666666664,0.5039166666666665,30,ok,0.0023312044586258495,0.0022314491853900635,0.0024278958502637832,30,ok,0.004572563306516341,0.0044216989132022004,0.00472793365973117,30,ok,8.103965067825693e-05,-7.331130157352382e-05,0.00022698979661688577,30,ok,-0.18938976749306974,-0.2019170240696248,-0.17655944703966495,30,ok,0.0,0.0,0.0,30,ok,0.22838573333333334,0.21375454583333334,0.2442149633333333,30,ok,0.7725166666666666,0.7569995833333334,0.7869166666666666,30,ok
0.25,0.6,30,0.24824566927458383,0.24719305329164987,0.24933554275027256,30,ok,0.6018166666666666,0.5991666666666667,0.604525,30,ok,0.0019550454458947928,0.0018577106073180436,0.0020500827213789717,30,ok,0.0032096348073684814,0.0030830460371032617,0.0033357763892561776,30,ok,5.714287611183262e-05,-9.985959193664656e-05,0.00020764844795578277,30,ok,-0.18501742854523506,-0.19641823968845687,-0.1730390346559209,30,ok,0.0,0.0,0.0,30,ok,0.22550491166666664,0.21091930679166668,0.24033797943749996,30,ok,0.77365,0.7601995833333332,0.7871670833333331,30,ok
0.25,0.7,30,0.2537040438472433,0.2528133505348522,0.2545721708231554,30,ok,0.6998833333333334,0.6973583333333334,0.702275,30,ok,0.001801303336314436,0.001714246325562435,0.0018805998203326071,30,ok,0.002561839398337854,0.002461936102918047,0.0026581532698883885,30,ok,2.7240046569454686e-05,-0.0001333250025647247,0.0001800239729007761,30,ok,-0.18399817689642975,-0.19381471070571565,-0.17378427223971218,30,ok,0.0,0.0,0.0,30,ok,0.22485221666666666,0.2128650282916667,0.23807668254166667,30,ok,0.77425,0.7601833333333334,0.7867166666666667,30,ok
0.25,0.8,30,0.25031435195648066,0.24957187713112503,0.25108398279608224,30,ok,0.8010166666666666,0.7986331249999998,0.803475,30,ok,0.0015553572277414653,0.0014653865854390357,0.001643820460968438,30,ok,0.001930388795393614,0.0018250988766001783,0.0020307252892848367,30,ok,4.6843688739487174e-05,-0.00014760342103841518,0.00023978870146216646,30,ok,-0.17133592714060722,-0.18140019303117985,-0.16071416714064327,30,ok,0.0,0.0,0.0,30,ok,0.23622022916666668,0.22247223385416667,0.2513762296875,30,ok,0.7651333333333333,0.7512658333333333,0.77823375,30,ok
0.25,0.9,30,0.24776255539021927,0.247287789668166,0.2482456436692079,30,ok,0.9009666666666665,0.8992164583333332,0.9027335416666668,30,ok,0.0013510974724380259,0.0012481112971982299,0.0014488842584514407,30,ok,0.0014863243324413074,0.0013743124707955247,0.0015933070393982281,30,ok,0.00012660269532779197,-9.940728324203393e-05,0.00033743767423079094,30,ok,-0.15709200618498148,-0.16853285663454026,-0.14535356631493432,30,ok,0.0,0.0,0.0,30,ok,0.25397473666666665,0.23858967241666665,0.2707117950833333,30,ok,0.7468333333333332,0.7305833333333334,0.7621999999999998,30,ok
0.25,1.0,30,0.2499967680935749,0.24993957139276068,0.25005325089806657,30,ok,1.0,1.0,1.0,30,ok,0.0012613198487828117,0.0011688649748449458,0.0013532885029685362,30,ok,0.0012613198487828117,0.001168660694307134,0.0013513042846031973,30,ok,,,,0,not_applicable,-0.1511168996343474,-0.1620223324503385,-0.14006294431188,30,ok,0.0,0.0,0.0,30,ok,0.2608644833333333,0.2465002366666667,0.2762239262499999,30,ok,0.7380999999999999,0.7239500000000002,0.7518833333333333,30,ok
0.5,0.1,30,0.501113460298751,0.49180529366636816,0.5099403094956827,30,ok,0.10022500000000001,0.09836645833333332,0.10204166666666667,30,ok,0.013155653913560583,0.01286797300363758,0.013440873328685151,30,ok,0.1307953091179692,0.13045418127136216,0.13114522893797223,30,ok,5.1452491329328624e-05,-4.1896947907924334e-05,0.00014286362391101583,30,ok,8.384337398023485,8.231316702109286,8.537844747747142,30,ok,0.0,0.0,0.0,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
0.5,0.2,30,0.49811703586562667,0.49337035536144497,0.5029172503660999,30,ok,0.19925,0.197325,0.20115854166666672,30,ok,0.012586085490321837,0.012408473048027698,0.012758473195501297,30,ok,0.06291788083497865,0.06256302680066465,0.06326208063178727,30,ok,6.367541921902121e-05,-4.0596149215294176e-05,0.0001657339761002212,30,ok,3.0019029739241696,2.972727540986104,3.031293551318648,30,ok,0.0,0.0,0.0,30,ok,1.0,1.0,1.0,30,ok,0.0,0.0,0.0,30,ok
0.5,0.3,30,0.49831321624477365,0.49410875324583037,0.5024042351422205,30,ok,0.2997416666666667,0.29719979166666666,0.30224999999999996,30,ok,0.01080911461399565,0.010672185754469047,0.01093899838253072,30,ok,0.03587972542726871,0.035579046036246315,0.036181465378945316,30,ok,8.043695866649004e-05,-2.8431889993204764e-05,0.0001880089367432874,30,ok,1.1329517813704955,1.1161639829879397,1.148742446380055,30,ok,0.0,0.0,0.0,30,ok,0.9953088541666666,0.9945125524583335,0.9960343874999998,30,ok,0.0048000000000000004,0.0037000000000000006,0.006000000000000002,30,ok
