horizon,empirical_gap_mean,empirical_gap_ci_lower,empirical_gap_ci_upper,predicted_gap_mean,predicted_gap_ci_lower,predicted_gap_ci_upper,pair_error_mean,pair_error_ci_lower,pair_error_ci_upper
1,0.0065661992563455385,0.0030684646,0.010314256,0.004180429911454728,0.0041606156,0.0042012064,0.9250833333333333,0.89641625,0.9523675
2,0.013033345576053216,0.007960178,0.018390605,0.008360859822909456,0.008321231,0.008402413,0.8500999999999997,0.8068492,0.89193374
3,0.01701597402140547,0.011711409,0.022373822,0.012541289734364185,0.012481847,0.012603618,0.8011666666666666,0.7572333,0.8450679
4,0.02128012447451756,0.015225587,0.027526716,0.01672171964581891,0.016642462,0.016804826,0.7480333333333332,0.7010996,0.7954
5,0.025293102980878664,0.018381732,0.032416232,0.02090214955727364,0.020803079,0.021006031,0.7027166666666667,0.6503483,0.7564054
6,0.028148071668919385,0.020302946,0.03628717,0.02508257946872837,0.024963694,0.025207236,0.6639833333333333,0.60338295,0.7247342
7,0.034019718797640444,0.02526611,0.042961866,0.029263009380183103,0.02912431,0.029408442,0.6119000000000002,0.5467142,0.6758
8,0.036020263901647795,0.027393242,0.044916235,0.03344343929163782,0.033284925,0.03360965,0.5861,0.52206624,0.6485342
9,0.03852325103740946,0.029660298,0.047404505,0.03762386920309255,0.03744554,0.037810855,0.55955,0.4962325,0.6224667
10,0.04515829811691668,0.035725508,0.054618984,0.04180429911454728,0.041606158,0.042012062,0.5042333333333332,0.43978333,0.56848335
11,0.05019788810467771,0.03976244,0.06101107,0.045984729026001994,0.04576677,0.046213266,0.4674333333333334,0.40309793,0.53258336
12,0.05414505372182445,0.04303145,0.06559831,0.05016515893745674,0.049927387,0.050414473,0.4424666666666667,0.3783979,0.5072333
13,0.06046008026608475,0.04927189,0.07191406,0.05434558884891146,0.054088004,0.05461568,0.3947666666666665,0.33263335,0.45868585
14,0.06483311251077371,0.053554386,0.07636202,0.05852601876036621,0.05824862,0.058816884,0.3610333333333334,0.30008334,0.4221671
15,0.07089057560300759,0.05875051,0.083441615,0.06270644867182092,0.062409237,0.06301809,0.3278,0.26694918,0.39080042
16,0.07795890660815118,0.06617421,0.08997168,0.06688687858327565,0.06656985,0.0672193,0.27876666666666666,0.2231,0.33623502
17,0.08190475002375995,0.069680125,0.094077416,0.07106730849473036,0.07073046,0.071420506,0.25293333333333334,0.1984,0.31128582
18,0.08670764312310222,0.073540844,0.0994499,0.0752477384061851,0.07489108,0.07562171,0.23421666666666663,0.18093291,0.29368374
19,0.09171908340920266,0.07861693,0.10444027,0.07942816831763984,0.079051696,0.07982292,0.20756666666666665,0.15706417,0.26500165
20,0.09593887129924707,0.082418784,0.109007455,0.08360859822909456,0.083212316,0.084024124,0.1969,0.150865,0.24982084
21,0.10089324702025142,0.08717189,0.11361621,0.08778902814054929,0.08737293,0.08822533,0.17813333333333334,0.13609707,0.22825
22,0.10460750066977173,0.090164915,0.118162796,0.09196945805200399,0.09153354,0.09242653,0.16928333333333337,0.12821625,0.21791667
23,0.10890857307980713,0.09356661,0.123072565,0.09614988796345877,0.09569416,0.09662774,0.1655,0.12486625,0.21416792
24,0.111773638322009,0.0964482,0.12623306,0.10033031787491348,0.099854775,0.100828946,0.16126666666666667,0.12271375,0.20761834
25,0.11609462054026061,0.100308135,0.1309265,0.10451074778636821,0.104015395,0.10503015,0.14736666666666665,0.11079958,0.1913
26,0.12016223825149358,0.104044236,0.13484211,0.10869117769782292,0.10817601,0.10923136,0.1368,0.10278333,0.17926666
27,0.12725135806570234,0.110637315,0.14223169,0.11287160760927765,0.11233663,0.113432564,0.12665,0.09548333,0.16538501
28,0.12764977832162192,0.110838704,0.14288846,0.11705203752073241,0.11649724,0.11763377,0.12591666666666665,0.095032915,0.16416751
29,0.13468524468736434,0.116714865,0.15120268,0.1212324674321871,0.120657854,0.12183498,0.11831666666666667,0.088599585,0.15615125
30,0.13812007205248497,0.119933404,0.15473944,0.12541289734364183,0.124818474,0.12603618,0.11676666666666664,0.08766667,0.15363374
31,0.14138278049661582,0.12231788,0.15854852,0.12959332725509654,0.12897909,0.1302374,0.11374999999999998,0.08439958,0.15050209
32,0.1448225394223947,0.12475653,0.16327995,0.1337737571665513,0.1331397,0.1344386,0.11016666666666668,0.0794325,0.14843374
33,0.15002258163892462,0.12942187,0.16878244,0.13795418707800602,0.13730031,0.13863981,0.10193333333333333,0.07198291,0.1406
34,0.15672246117242347,0.13539049,0.17682157,0.14213461698946073,0.14146093,0.14284101,0.09783333333333334,0.06844958,0.13621709
35,0.16226664403002808,0.14112665,0.18241006,0.14631504690091546,0.14562154,0.14704221,0.08945,0.06631625,0.11893417
36,0.165648486647158,0.14385808,0.18631174,0.1504954768123702,0.14978217,0.15124342,0.08741666666666666,0.0637,0.11678375
37,0.1723464755560536,0.14910294,0.1948413,0.15467590672382495,0.15394278,0.15544462,0.08393333333333335,0.06325,0.10843417
38,0.17566852170721742,0.15239076,0.19831493,0.15885633663527968,0.15810339,0.15964584,0.07706666666666666,0.060749583,0.09570209
39,0.18192514713620828,0.1575653,0.20570898,0.16303676654673438,0.162264,0.16384704,0.07311666666666666,0.056616668,0.09243333
40,0.18542000950856932,0.16148202,0.20894673,0.1672171964581891,0.16642463,0.16804825,0.06821666666666665,0.052983332,0.085867085
41,0.19205237123661942,0.1680427,0.21537437,0.17139762636964387,0.17058524,0.17224945,0.06278333333333333,0.04919958,0.07881667
42,0.1980445652892255,0.17533582,0.22024025,0.17557805628109857,0.17474586,0.17645065,0.05473333333333334,0.044716667,0.065016665
43,0.20358993692782743,0.18094353,0.2255262,0.1797584861925533,0.17890647,0.18065186,0.05221666666666668,0.042482916,0.062483333
44,0.2079758049836694,0.18587539,0.22990605,0.18393891610400798,0.18306708,0.18485306,0.04968333333333333,0.04039958,0.059666667
45,0.21275703089774634,0.19067997,0.23492111,0.18811934601546276,0.18722771,0.18905428,0.046900000000000004,0.03706667,0.057433333
46,0.21724616135587269,0.19540599,0.23953074,0.19229977592691755,0.19138832,0.19325548,0.0443,0.0353,0.054067083
