asin,usable_unique_user_reviews,exported_reviews,first_timestamp,last_timestamp,first_source_line,last_source_line,rating_1,rating_2,rating_3,rating_4,rating_5
0976990792,383,300,1385359629000,1576855203864,20517595,43643959,14,11,14,23,238
966652046X,1126,300,1444588567000,1535500637189,24134338,41067827,83,36,53,36,92
B00000DMF5,2031,300,975951304000,1420370679000,59581300,1328012,19,13,23,50,195
B00000ISUU,401,300,997987387000,1483816964000,58575715,6294654,104,30,46,41,79
B00002N5ZB,4150,300,1169218058000,1417332350000,13513228,37362123,12,12,16,48,212
B00002N636,443,300,1188026970000,1544710282507,30899467,23432065,4,5,11,27,253
B00002N8CZ,1165,300,1198925935000,1386297195000,61811712,6373512,15,12,26,62,185
B00002N8DH,353,300,960398865000,1620602119741,19262301,55082602,9,7,12,39,233
B00002ND4D,520,300,1309287380000,1504875750261,39608705,2645685,11,13,20,47,209
B00002ND67,666,300,961162386000,1446572871000,62834974,62602855,39,22,28,68,143
B00004OCIP,4877,300,957893564000,1390232357000,26322370,50684430,12,9,10,31,238
B00004OCIW,331,300,1144774951000,1605485243549,3879151,3877881,124,39,20,22,95
B00004OCJJ,408,300,986623827000,1546725071876,53656633,18923397,24,14,9,42,211
B00004OCJK,655,300,1124111679000,1502934492464,52773453,46888991,4,5,6,40,245
B00004OCJN,1144,300,969955847000,1478845146000,55455133,40477275,3,4,10,38,245
B00004OCJO,462,300,962063983000,1479160695000,46068436,46068687,19,16,30,48,187
B00004OCJQ,1103,300,957451185000,1417810049000,44977856,32355382,6,11,19,64,200
B00004OCKT,931,300,991684642000,1427303328000,59389631,15283293,22,20,31,65,162
B00004OCNU,359,300,1140842290000,1464142902000,5494957,5495447,20,22,45,62,151
B00004R936,540,300,967674424000,1168868811000,64132317,64132342,21,28,32,63,156
B00004RDDN,415,300,961126499000,1428086468000,44964976,44965053,23,11,17,31,218
B00004RDF0,316,300,967592660000,1666222662638,1318221,65054083,16,4,16,21,243
B00004RDF3,583,300,967181341000,1550945187936,5448474,52326678,9,11,13,31,236
B00004RDFG,470,300,1070758594000,1453648021000,26128873,19451312,20,7,15,36,222
B00004RDFR,310,300,1006292462000,1662574972999,63469344,65863018,55,28,32,38,147
B00004S1B8,539,300,985331609000,1483470527000,66497425,32266174,13,5,8,36,238
B00004S1CV,693,300,968967445000,1365473596000,18858737,35804404,8,11,22,55,204
B00004S1DB,1159,300,994239112000,1353344208000,34967275,10972191,14,21,30,76,159
B00004S9D3,533,300,962127275000,1461267257000,55491796,21985605,12,5,5,27,251
B00004S9H3,425,300,983854827000,1173749316000,60117907,20159329,64,27,18,57,134
B00004S9H7,404,300,965680193000,1203782228000,60620018,22331683,18,4,14,40,224
B00004SABW,471,300,961382224000,1483303198000,63260795,51739074,40,20,32,47,161
B00004SGFD,1174,300,979775645000,1410197800000,20794774,13171945,18,13,40,81,148
B00004SGFI,423,300,957969461000,1505928196762,19561837,54186846,6,9,29,52,204
B00004SGFJ,617,300,957391670000,1506343508401,19561840,10585881,7,9,15,41,228
B00004SGFK,501,300,1059531781000,1467724767000,16284223,10514703,8,3,11,41,237
B00004SGFP,1270,300,998698937000,1388291931000,57603874,10196788,48,30,32,58,132
B00004SUHY,528,300,979182395000,1200918652000,62430807,62430911,8,4,15,61,212
B00004SZ10,500,300,1148232993000,1374168269000,41341306,36154169,90,32,35,63,80
B00004SZ6Q,1050,300,1132261157000,1421101594000,6029262,3119161,12,17,26,33,212
B00004SZ7H,820,300,1102084715000,1400794203000,60480056,14679056,3,4,4,46,243
B00004U49X,442,300,1187898337000,1532538206780,53813659,42628553,9,8,14,42,227
B00004UE7C,859,300,1264707548000,1443442672000,61355001,20441685,1,3,11,24,261
B00004UE7F,1425,300,971207288000,1430408712000,97035,23215211,34,28,31,66,141
B00004UE7U,833,300,1024564152000,1426271780000,21095939,3140268,12,9,18,60,201
B00004UE8A,826,300,1163793363000,1461899609000,36059287,27899568,40,34,63,42,121
B00004W4UJ,479,300,1258688963000,1509769495742,56995167,20102741,38,19,25,59,159
B00004W4UL,604,300,1277662978000,1472079321000,23410420,20397150,25,12,30,62,171
B00004W4UR,2316,300,1168202964000,1447700620000,35829910,40573999,50,28,35,52,135
B00004W4UT,1400,300,1071336367000,1365771024000,50319031,63400814,68,25,35,53,119
B00004W4V7,368,300,997705394000,1519292574655,61841624,55976911,5,5,25,36,229
B00004W4V8,822,300,1084755567000,1427217897000,20690020,25905681,7,5,13,34,241
B00004W4V9,979,300,976982305000,1416811308000,61841712,7210023,2,6,15,39,238
B00004W4VA,322,300,1223491554000,1631393048201,31446303,60032417,11,9,13,26,241
B00004WKI7,335,300,1022512286000,1529594907834,45105120,54432009,123,50,30,31,66
B00004WYJU,348,300,982884029000,1384571195000,40297037,22659496,16,14,19,55,196
B00004X13D,1177,300,974310239000,1344174777000,10163780,55064145,7,9,13,51,220
B00004XSC0,694,300,1123632093000,1437329227000,37474339,45897331,76,20,27,48,129
B00004XSF9,1332,300,1175895882000,1425222771000,45680112,54989905,38,29,38,59,136
B00004XSH6,351,300,1228869132000,1670423744960,56778986,36022718,46,19,16,25,194
B00004Z0IX,541,300,1212428372000,1461863778000,25417938,21741226,80,24,42,46,108
B000050AV3,349,300,1046020061000,1578887671190,35236519,40081052,12,14,28,59,187
B000050FB5,445,300,984075751000,1400897949000,38038385,29949054,27,17,28,76,152
B000050H5N,762,300,984858170000,1382204650000,40297005,48384857,47,25,31,64,133
B000050HDN,469,300,985352558000,1514743465376,55453831,29243315,8,2,13,62,215
B000056HL5,321,300,990663050000,1643312987142,63817160,22786935,92,30,25,47,106
B00005AWCA,427,300,986322261000,1235590965000,40296999,7181440,8,8,12,36,236
B00005CDPH,2543,300,997453595000,1446351341000,61726403,24301308,30,19,29,53,169
B00005CDPZ,309,300,1153954933000,1572761124093,6437080,20496411,9,7,17,42,225
B00005IBXJ,4853,300,990652032000,1293585374000,55540810,5045976,6,3,11,41,239
B00005IBXK,1898,300,991250978000,1348268387000,56534622,56534906,32,11,13,45,199
B00005K8PA,381,300,1003109032000,1441573093000,873729,28484439,44,22,32,70,132
B00005KB37,4008,300,999223104000,1376612431000,12612076,12616268,25,15,10,64,186
B00005MF97,854,300,1069806376000,1286840672000,25618252,57393581,12,12,18,40,218
B00005MF9C,6064,300,1000827558000,1234318414000,64800306,15808404,25,17,31,71,156
B00005MGK8,1645,300,1115229844000,1438603537000,55064313,26142263,103,39,28,41,89
B00005NCWV,782,300,1019162864000,1490204197000,44234084,30340872,72,25,26,38,139
B00005OTXK,701,300,1036716292000,1355950466000,27767509,34568215,54,16,24,58,148
B00005OTXU,544,300,1173368704000,1450826959000,41482935,29202135,4,1,19,46,230
B00005OTXY,1214,300,1010346100000,1432596960000,59031812,45036937,8,8,17,46,221
B00005Q4OD,842,300,1037291173000,1411664741000,17732398,30604155,88,20,18,44,130
B00005Q5K4,387,300,1012982439000,1622891460269,29497104,24889540,72,31,25,39,133
B00005QB5U,1127,300,1016738797000,1476386301000,57005421,56331268,17,6,22,40,215
B00005QFL0,2871,300,1019590382000,1226608464000,54940552,54940875,11,9,14,48,218
B00005U5A7,457,300,1224530675000,1546641387376,41457310,30738971,25,26,36,47,166
B00005UP2Q,421,300,1017774758000,1462544585000,63962693,7780471,6,3,7,34,250
B00005YXC0,536,300,1069267036000,1433120833000,29438954,54779357,8,9,16,54,213
B0000639WN,328,300,1032020161000,1413640299000,42574868,66930674,24,21,33,41,181
B000063SI0,1367,300,1022278437000,1384122360000,59994705,12132608,8,6,21,45,220
B000063UZS,309,300,1018544090000,1443820984000,64586702,27731985,21,20,19,91,149
B000063Y8F,302,300,1022350265000,1582608209155,49664546,25907552,17,8,12,21,242
B000065DK8,3027,300,1083023631000,1382639637000,3390883,53469744,40,32,38,69,121
B000066RUK,461,300,1281579993000,1460651594000,8133373,19948967,8,7,13,37,235
B000067SRA,311,300,1168030687000,1525747599112,16585257,5711143,23,13,33,49,182
B00006ADVC,663,300,1186603306000,1549011244335,57450915,26944834,45,24,32,57,142
B00006CJLM,738,300,1036610076000,1392356613000,58290393,34968849,14,14,23,63,186
B00006F2ME,623,300,1040668906000,1408898645000,57726118,9740227,30,9,13,49,199
