asin,reference_n,reference_mean,reference_count_1,reference_prob_1,reference_count_2,reference_prob_2,reference_count_3,reference_prob_3,reference_count_4,reference_prob_4,reference_count_5,reference_prob_5,loo_domain_n,loo_domain_mean,loo_domain_count_1,loo_domain_prob_1,loo_domain_count_2,loo_domain_prob_2,loo_domain_count_3,loo_domain_prob_3,loo_domain_count_4,loo_domain_prob_4,loo_domain_count_5,loo_domain_prob_5
0976990792,120,4.566666666666666,4,0.03333333333333333,4,0.03333333333333333,7,0.058333333333333334,10,0.08333333333333333,95,0.7916666666666666,3749520,4.319266199406857,278013,0.07414629072521282,157981,0.04213365977511788,237003,0.06320889073801447,492424,0.1313298768909087,2584099,0.6891812818707461
966652046X,120,3.125,32,0.26666666666666666,15,0.125,20,0.16666666666666666,12,0.1,41,0.3416666666666667,3749520,4.3193123386460135,277985,0.07413882310269047,157970,0.042130726066269816,236990,0.06320542362755766,492422,0.13132934348929998,2584153,0.689195683714182
B00000DMF5,120,4.241666666666666,5,0.041666666666666664,9,0.075,10,0.08333333333333333,24,0.2,72,0.6,3749520,4.3192766007382275,278012,0.07414602402440845,157976,0.04213232627109603,237000,0.06320809063560136,492410,0.13132614307964752,2584122,0.6891874159892466
B00000ISUU,120,2.7583333333333333,42,0.35,15,0.125,19,0.15833333333333333,18,0.15,26,0.21666666666666667,3749520,4.319324073481406,277975,0.07413615609464679,157970,0.042130726066269816,236991,0.06320569032836203,492416,0.13132774328447375,2584168,0.6891996842262477
B00002N5ZB,120,4.216666666666667,9,0.075,6,0.05,10,0.08333333333333333,20,0.16666666666666666,75,0.625,3749520,4.319277400840641,278008,0.07414495722119098,157979,0.04213312637350914,237000,0.06320809063560136,492414,0.131327209882865,2584119,0.6891866158868335
B00002N636,120,4.683333333333334,3,0.025,1,0.008333333333333333,4,0.03333333333333333,15,0.125,97,0.8083333333333333,3749520,4.319262465595596,278014,0.0741465574260172,157984,0.04213445987753099,237006,0.06320969084042757,492419,0.13132854338688685,2584097,0.6891807484691373
B00002N8CZ,120,4.5,4,0.03333333333333333,2,0.016666666666666666,7,0.058333333333333334,24,0.2,83,0.6916666666666667,3749520,4.319268333013293,278013,0.07414629072521282,157983,0.04213419317672662,237003,0.06320889073801447,492410,0.13132614307964752,2584111,0.6891844822803985
B00002N8DH,120,4.5,2,0.016666666666666666,5,0.041666666666666664,9,0.075,19,0.15833333333333333,85,0.7083333333333334,3749520,4.319268333013293,278015,0.07414682412682157,157980,0.04213339307431351,237001,0.06320835733640573,492415,0.1313274765836694,2584109,0.6891839488787899
B00002ND4D,120,4.475,4,0.03333333333333333,3,0.025,9,0.075,20,0.16666666666666666,84,0.7,3749520,4.319269133115705,278013,0.07414629072521282,157982,0.04213392647592225,237001,0.06320835733640573,492414,0.131327209882865,2584110,0.6891842155795942
B00002ND67,120,3.725,17,0.14166666666666666,11,0.09166666666666666,12,0.1,28,0.23333333333333334,52,0.43333333333333335,3749520,4.319293136188099,278000,0.07414282361475602,157974,0.042131792869487296,236998,0.06320755723399261,492406,0.13132507627643006,2584142,0.689192750005334
