asin,first_timestamp,last_timestamp,reference_start_position,reference_end_position,reference_n,reference_mean,reference_count_1,reference_count_2,reference_count_3,reference_count_4,reference_count_5,calibration_1_start_position,calibration_1_end_position,calibration_1_n,calibration_1_mean,calibration_1_count_1,calibration_1_count_2,calibration_1_count_3,calibration_1_count_4,calibration_1_count_5,calibration_2_start_position,calibration_2_end_position,calibration_2_n,calibration_2_mean,calibration_2_count_1,calibration_2_count_2,calibration_2_count_3,calibration_2_count_4,calibration_2_count_5,experimental_A_start_position,experimental_A_end_position,experimental_A_n,experimental_A_mean,experimental_A_count_1,experimental_A_count_2,experimental_A_count_3,experimental_A_count_4,experimental_A_count_5,experimental_B_start_position,experimental_B_end_position,experimental_B_n,experimental_B_mean,experimental_B_count_1,experimental_B_count_2,experimental_B_count_3,experimental_B_count_4,experimental_B_count_5,holdout_1_start_position,holdout_1_end_position,holdout_1_n,holdout_1_mean,holdout_1_count_1,holdout_1_count_2,holdout_1_count_3,holdout_1_count_4,holdout_1_count_5,holdout_2_start_position,holdout_2_end_position,holdout_2_n,holdout_2_mean,holdout_2_count_1,holdout_2_count_2,holdout_2_count_3,holdout_2_count_4,holdout_2_count_5
0976990792,1385359629000,1576855203864,1,120,120,4.566666666666666,4,4,7,10,95,121,150,30,4.666666666666667,1,0,2,2,25,151,180,30,4.533333333333333,2,1,1,1,25,181,210,30,4.533333333333333,1,1,2,3,23,211,240,30,4.0,4,3,2,1,20,241,270,30,4.633333333333334,1,1,0,4,24,271,300,30,4.7,1,1,0,2,26
966652046X,1444588567000,1535500637189,1,120,120,3.125,32,15,20,12,41,121,150,30,2.3333333333333335,13,5,5,3,4,151,180,30,3.466666666666667,6,2,5,6,11,181,210,30,2.6666666666666665,11,4,5,4,6,211,240,30,3.5,4,4,7,3,12,241,270,30,2.8666666666666667,10,4,4,4,8,271,300,30,3.2666666666666666,7,2,7,4,10
B00000DMF5,975951304000,1420370679000,1,120,120,4.241666666666666,5,9,10,24,72,121,150,30,3.9,6,0,2,5,17,151,180,30,4.3,3,2,0,3,22,181,210,30,4.366666666666666,1,1,4,4,20,211,240,30,4.433333333333334,2,0,2,5,21,241,270,30,4.166666666666667,2,1,5,4,18,271,300,30,4.833333333333333,0,0,0,5,25
B00000ISUU,997987387000,1483816964000,1,120,120,2.7583333333333333,42,15,19,18,26,121,150,30,3.1333333333333333,7,5,3,7,8,151,180,30,3.1333333333333333,10,0,7,2,11,181,210,30,2.9,13,1,3,2,11,211,240,30,2.3,17,1,3,4,5,241,270,30,2.933333333333333,8,3,8,5,6,271,300,30,3.2666666666666666,7,5,3,3,12
B00002N5ZB,1169218058000,1417332350000,1,120,120,4.216666666666667,9,6,10,20,75,121,150,30,4.466666666666667,2,0,1,6,21,151,180,30,4.6,0,1,1,7,21,181,210,30,4.466666666666667,0,3,2,3,22,211,240,30,4.933333333333334,0,0,0,2,28,241,270,30,4.766666666666667,0,1,1,2,26,271,300,30,4.433333333333334,1,1,1,8,19
B00002N636,1188026970000,1544710282507,1,120,120,4.683333333333334,3,1,4,15,97,121,150,30,4.533333333333333,1,1,2,3,23,151,180,30,4.8,0,1,1,1,27,181,210,30,4.733333333333333,0,0,3,2,25,211,240,30,4.933333333333334,0,0,0,2,28,241,270,30,4.766666666666667,0,1,1,2,26,271,300,30,4.833333333333333,0,1,0,2,27
B00002N8CZ,1198925935000,1386297195000,1,120,120,4.5,4,2,7,24,83,121,150,30,4.3,2,0,4,5,19,151,180,30,4.466666666666667,0,3,1,5,21,181,210,30,4.433333333333334,1,0,3,7,19,211,240,30,4.433333333333334,1,1,2,6,20,241,270,30,3.6333333333333333,4,3,4,8,11,271,300,30,3.7333333333333334,3,3,5,7,12
B00002N8DH,960398865000,1620602119741,1,120,120,4.5,2,5,9,19,85,121,150,30,4.566666666666666,1,2,0,3,24,151,180,30,4.533333333333333,2,0,2,2,24,181,210,30,4.933333333333334,0,0,0,2,28,211,240,30,4.633333333333334,1,0,0,7,22,241,270,30,4.433333333333334,3,0,1,3,23,271,300,30,4.9,0,0,0,3,27
B00002ND4D,1309287380000,1504875750261,1,120,120,4.475,4,3,9,20,84,121,150,30,4.3,2,2,1,5,20,151,180,30,4.566666666666666,1,1,1,4,23,181,210,30,4.7,0,0,2,5,23,211,240,30,4.2,2,1,4,5,18,241,270,30,4.4,0,3,2,5,20,271,300,30,4.266666666666667,2,3,1,3,21
B00002ND67,961162386000,1446572871000,1,120,120,3.725,17,11,12,28,52,121,150,30,4.166666666666667,3,1,2,6,18,151,180,30,3.9,4,1,2,10,13,181,210,30,3.7,5,2,3,7,13,211,240,30,4.0,2,4,2,6,16,241,270,30,4.066666666666666,2,2,5,4,17,271,300,30,3.7333333333333334,6,1,2,7,14
