seed,attack_world_sha256,n_items,m,mean_d_cf,positive_d_cf_fraction,zero_d_cf_fraction,negative_d_cf_fraction,clean_w1_mean,attack_w1_mean
0,e6c1e331e091a817f66b33f292874fcd8a769bc71e7390eb90d30b0bf6aee327,2000,6,0.0771610709789901,0.645,0.0005,0.3545,0.3279965372139062,0.4051576081928963
1,d2a6af13ef9520fb43cb4748fb4123dcd5b503fb6643a89b4e3aeb95a816bc2c,2000,6,0.07377726996674625,0.6465,0.0,0.3535,0.3333428275581179,0.40712009752486417
2,995a0e15147a97cf6b3e60c3fc7dcb1533e16598b92a731e212ffcc80050bafd,2000,6,0.06317213708116545,0.6125,0.0,0.3875,0.3364501739270246,0.39962231100819
3,5f4fbb438e098d7766a856b00cd993ed76b8fe654b56bbd5fe62662277f6e3ed,2000,6,0.07508399204622003,0.6285,0.0,0.3715,0.32786033076995763,0.4029443228161776
4,08dd949cbdb1c4e3b3d3266926dbe48f624fcc8a4354b44ecb035c37e4106d33,2000,6,0.06546819009976136,0.626,0.0,0.374,0.33200690777943387,0.3974750978791952
5,23d700135575dfbd5c83cfde34a984fed7d849ea6140ccbc0d2c6bfe867de354,2000,6,0.08355336580225128,0.654,0.0,0.346,0.32391619883535566,0.407469564637607
6,86f006f6dbdd0a64a22efa5ddc7f1cd635c52aa2096589a99f6d94e348be2512,2000,6,0.07590611228713467,0.6385,0.0,0.3615,0.3237339987137401,0.39964011100087476
7,b7b6848423d687d84a8d07817fe8b2e0daa74eec1616a79e9b05c2ef7184685b,2000,6,0.07947346627987431,0.6375,0.0,0.3625,0.32609469261589286,0.4055681588957673
8,1645ad95fffcbaaf8f94ba227fd596b930056ef3ac236f5ed458f8eacf694b6b,2000,6,0.0926353089766919,0.6615,0.0,0.3385,0.3248228606975979,0.4174581696742898
9,8c91d53e1fa59d7c5c05b126d5f74527d0a264ab0e1f41d1d3ec529f16d64191,2000,6,0.08301219832329017,0.646,0.0,0.354,0.32318883411362365,0.4062010324369138
10,0c38945661ccd4eb0be69f9fc79f2cafb76d8e94a0daaa9265416f4bb9850934,2000,6,0.07649232873236346,0.628,0.0005,0.3715,0.33050151415571666,0.40699384288808016
11,c21565ab259766109fbad2ce0c51e5c9061a832b8f039bd88de567c7dccbdfd8,2000,6,0.09489276878869068,0.6585,0.0,0.3415,0.32280658526196115,0.4176993540506519
12,2000cdf3e6201d6269f26826102349cb4709bdcc762a2a2a521ed0f03d1301f9,2000,6,0.07087671797228143,0.64,0.0,0.36,0.33540410829729056,0.406280826269572
13,9d39ffd155ab7fd116dba14b81bb290a47241c4ade8fcd1db0d440ce3c2e228c,2000,6,0.06878776079528658,0.6295,0.0,0.3705,0.337849523215162,0.40663728401044863
14,c67a3f67383634c1d19186c12a6834aeb361ea0ebee9c21ef575a96a6cb0eae5,2000,6,0.06934571758518425,0.6305,0.0,0.3695,0.329475059036128,0.3988207766213123
15,28993c11fcb5bead56ad7e49a420a4142473930e0b813f93c0669f8d75341534,2000,6,0.07958306918523667,0.6455,0.0,0.3545,0.3333680346512925,0.4129511038365292
16,b543c2889d8a364a0d75b517e05287881fb16db5f42ef92300eda421cd408090,2000,6,0.07781404751236733,0.6405,0.0,0.3595,0.3304649964909794,0.4082790440033467
17,d8ad716247b9b260d6e7a9b557c859f2598db45a4989149d4be2088bb5f3ba46,2000,6,0.07919513884443877,0.6455,0.0,0.3545,0.322783093150209,0.4019782319946477
18,c6c34d9c1845c8193060d5a7fffcfb3fe6c1b04aaca4eb7b1bdb73b41f7e431e,2000,6,0.06614027719357603,0.625,0.0,0.375,0.3313932046159051,0.39753348180948117
19,64706dcc2ab35cd0aaa6c2379b626853e7f0009638dad769dfd6a16181faa757,2000,6,0.06804792849675237,0.636,0.0,0.364,0.33330256328048086,0.4013504917772332
20,f5806d5fc0779cadbd48eaa7e615cd0cf4a223c7a60b9e9604e1e4989acd581b,2000,6,0.07346533198154127,0.64,0.0,0.36,0.33148370480945366,0.404949036790995
21,424d6aab5d27a2beccb22ed550ba1284f084ce57b8a57e96bae41de0adc83da8,2000,6,0.07331545950262587,0.635,0.0,0.365,0.33307338981294365,0.4063888493155695
22,972d804efac22e959ce67067b77e2d80ea58f4dcec72a4a8178a99dba64344b0,2000,6,0.07118355343769718,0.643,0.0,0.357,0.32879145174391844,0.39997500518161566
23,1e9974b35070a6b4452ddd03ac0cfd81d64a10258a0b3770545e39bd77586b00,2000,6,0.07887959609306183,0.635,0.0,0.365,0.3308048863397372,0.4096844824327991
24,100858967310b2ce6b5c95d4fc52144d9a344e5026d0719dfc8c6bbfa1ba14d5,2000,6,0.07646646801266754,0.6335,0.0,0.3665,0.3296784457553424,0.40614491376800993
25,ce7a602e8c19a5ae0d8b5d17ca51c8dba79170e2773c1bac4df4034ce2a26b3e,2000,6,0.0805480085450938,0.637,0.0,0.363,0.3263868013200928,0.4069348098651866
26,7921df77cbe4986b1fdcdf6efca76d80625d545a715b14f30da72ee3ff289ac0,2000,6,0.07844794975661648,0.6405,0.0,0.3595,0.3304563799975921,0.40890432975420854
27,84e657735aaaaabb0fadeeecc966cfe2ba1c2f52d143a6ef1955eed08442f01d,2000,6,0.08339895289454195,0.649,0.0,0.351,0.3214462341465422,0.4048451870410841
28,97182e7df9d8c6d8b76fef044fa4b044a7bcd2954d0b63fad18e7320a1259a7d,2000,6,0.07363855339197704,0.6275,0.0,0.3725,0.3275603920920926,0.4011989454840696
29,aab38f3aca4c83b12c3f74ea3590a5bae0f4a25d950bd08a5b81f2e475607bff,2000,6,0.08095990244846579,0.634,0.0,0.366,0.3253922625524639,0.4063521650009297
