frequency_auc,k_on,master_seed,matched_pair_misordering,mean_active_increment,mean_coalition_score,mean_inactive_increment,mean_normal_score,mean_score_gap,mean_signed_increment,realized_R_exp,realized_p_on,requested_R_exp,requested_p_on,score_auc
0.0,200,27001,0.0,0.06105444917436272,2.533759640736052,0.00021240795501591657,1.0369801246518275,1.4967795160842245,0.006524769731523147,0.2595411874665997,0.10375,0.25,0.1,0.999955
0.0,100,27001,0.301,0.023573302342280972,0.9535400797452653,0.00022290255188476667,0.7880250274056368,0.1655150523396285,0.004945520909492399,0.2529744827234689,0.20225,0.25,0.2,0.7173725
0.0,67,27001,0.684,0.011221386408989712,0.4597458118695129,0.00029441047471431223,0.5786641734240896,-0.11891836155457669,0.0036353333666190152,0.2562296920747066,0.30575,0.25,0.3,0.331637825
0.0,50,27001,0.7915,0.006851227915247572,0.2754193621929523,0.00036700730377154555,0.47260325731207586,-0.19718389511912354,0.0029736639895849076,0.251410981594152,0.402,0.25,0.4,0.22445625000000002
0.0,40,27001,0.8055,0.004644667432036974,0.1853222305382753,0.0004165552606120311,0.4015613148037956,-0.2162390842655203,0.0025253262061102214,0.2495347802389718,0.49875,0.25,0.5,0.198922
0.0,33,27001,0.83,0.0033016865171453893,0.13199977611221408,0.0005962005841124257,0.35537037188324677,-0.2233705957710327,0.0022350486880471435,0.25003197359809454,0.60575,0.25,0.6,0.17695862499999998
0.0,29,27001,0.785,0.0024840217157428217,0.10149961132696744,0.00042118966486692305,0.29789564376460437,-0.19639603243763692,0.0018744548447089933,0.2555448785800658,0.7045,0.25,0.7,0.21107325000000002
0.0,25,27001,0.791,0.0017841214634598263,0.07294826633721366,0.0008544743416985146,0.256377789738289,-0.18342952340107535,0.0016146932755188275,0.25571060969977333,0.81775,0.25,0.8,0.21016812499999998
0.0,22,27001,0.766,0.001455121590207876,0.058279074809415646,0.000673383149693693,0.22039235430328932,-0.16211327949387366,0.0013849605651717282,0.25047913492107915,0.91025,0.25,0.9,0.24477699999999997
0.0,20,27001,0.757,0.0012772808727282803,0.051091234909131214,nan,0.20269459982588323,-0.15160336491675203,0.0012772808727282803,0.2501601806906985,1.0,0.25,1.0,0.25230800000000003
0.0,400,27001,0.0,0.13011445361885896,10.799499650365295,0.00021240795501591657,2.1774795561875036,8.622020094177792,0.013689745192639635,0.5190823749331994,0.10375,0.5,0.1,1.0
0.0,200,27001,0.0,0.0627741343932591,5.078427472414662,0.00022290255188476667,2.05136754309452,3.0270599293201417,0.012873889191802724,0.5059489654469378,0.20225,0.5,0.2,1.0
0.0,133,27001,0.0055,0.035621182608389326,2.8970529709490003,0.00029441047471431223,1.7677814019600948,1.1292715689889055,0.01109557105458545,0.5086350603871042,0.30575,0.5,0.3,0.996568825
0.0,100,27001,0.211,0.022799779889839545,1.8331023031430993,0.00036700730377154555,1.4951589967608354,0.3379433063822639,0.00938498188337088,0.502821963188304,0.402,0.5,0.4,0.80313
0.0,80,27001,0.5465,0.01566525781458446,1.2500875736038397,0.0004165552606120311,1.2791882991943897,-0.029100725590549992,0.008021845659405781,0.4990695604779436,0.49875,0.5,0.5,0.46545000000000003
0.0,67,27001,0.743,0.01179899837312773,0.9577305974459644,0.0005962005841124257,1.1765706922723769,-0.21884009482641242,0.007382295344808448,0.5076406736688587,0.60575,0.5,0.6,0.273402825
0.0,57,27001,0.828,0.008787086915932434,0.7057173114792816,0.00042118966486692305,1.006226912639692,-0.3005096011604105,0.006314964278242577,0.5022778647953017,0.7045,0.5,0.7,0.173715125
0.0,50,27001,0.896,0.00675501081064251,0.5523910090402913,0.0008544743416985146,0.9046293182300411,-0.35223830918974985,0.005679638039177467,0.5114212193995467,0.81775,0.5,0.8,0.10781
0.0,44,27001,0.8825,0.005323978856893916,0.4264613543949165,0.000673383149693693,0.7817856909930787,-0.3553243365981622,0.0049065878921726955,0.5009582698421583,0.91025,0.5,0.9,0.11981979999999999
0.0,40,27001,0.89,0.004311344316548433,0.34490754532387463,nan,0.6863330356981251,-0.34142549037425046,0.004311344316548433,0.500320361381397,1.0,0.5,1.0,0.111153
0.0011500000000000121,600,27001,0.0,0.18195392956687362,22.653264231075767,0.00021240795501591657,3.0351656433169576,19.61809858775881,0.019068090822246156,0.7786235623997991,0.10375,0.75,0.1,1.0
0.0005112500000000186,300,27001,0.0,0.09889010744095254,12.000314537959587,0.00022290255188476667,3.2182012563375513,8.782113281622037,0.02017834474069872,0.7589234481704067,0.20225,0.75,0.2,1.0
0.0006625000000000381,200,27001,0.0,0.06264384668118181,7.661342449108536,0.00029441047471431223,3.085738920056379,4.575603529052156,0.01935775059484175,0.7648647524618107,0.30575,0.75,0.3,1.0
0.00039999999999998923,150,27001,0.0,0.04281230335041256,5.163163784059755,0.00036700730377154555,2.778470556918772,2.384693227140983,0.01743001631452123,0.7542329447824561,0.402,0.75,0.4,0.99999375
