seed,stage_seed,n_grid_cells,principal_score_auc,principal_frequency_auc,principal_pair_misordering,principal_realized_R_exp,principal_realized_p_on
27001,662276841,70,1.0,0.56668,0.0,1.0118979308938756,0.20225
27002,49995183,70,1.0,0.51091,0.0,1.0009209472385954,0.20025
27003,1007165361,70,1.0,0.6691250000000001,0.0,1.0332017573175232,0.20675
27004,4067706184,70,1.0,0.467225,0.0,0.9925595535732146,0.1985
27005,2550321225,70,1.0,0.41698999999999997,0.0,0.9829475483055878,0.1965
27006,3538504314,70,1.0,0.35916499999999996,0.0,0.9708692372210275,0.19425
27007,1938070832,70,1.0,0.5108550000000001,0.0,1.001433074483929,0.20025
27008,3895409036,70,1.0,0.26335000000000003,0.0,0.9498883881143966,0.19
27009,37963247,70,1.0,0.35053500000000004,0.0,0.9695661191616753,0.194
27010,4016946349,70,1.0,0.68889,0.0,1.0380109115906644,0.208
27011,3025141811,70,1.0,0.5854050000000001,0.0,1.0149419935058692,0.20325
27012,3695651144,70,1.0,0.6041,0.0,1.018461648045897,0.20375
27013,3986333986,70,1.0,0.286675,0.0,0.956211452725812,0.19125
27014,3946079564,70,1.0,0.44255,0.0,0.9880959453670495,0.1975
27015,817160549,70,1.0,0.3099,0.0,0.9614473971687313,0.19225
27016,2991519328,70,1.0,0.573345,0.0,1.013532407261316,0.20275
27017,1687489536,70,1.0,0.265,0.0,0.9507119564521453,0.19025
27018,1994991948,70,1.0,0.588205,0.0,1.0163587445966826,0.203
27019,2826713,70,1.0,0.5614250000000001,0.0,1.010802324344949,0.202
27020,1509905082,70,1.0,0.49114500000000005,0.0,0.9976022542310587,0.1995
27021,1911454877,70,1.0,0.26952,0.0,0.9515208861022623,0.19025
27022,826817972,70,1.0,0.3405,0.0,0.9680330231833905,0.1935
27023,766869388,70,1.0,0.7700750000000001,0.0,1.0562070915869044,0.21125
27024,3773599144,70,1.0,0.59569,0.0,1.0173432655531505,0.2035
27025,1696084094,70,1.0,0.607805,0.0,1.0212037267061336,0.20425
27026,1484959898,70,1.0,0.504025,0.0,0.9993594730377499,0.2
27027,3354050494,70,1.0,0.48849,0.0,0.997270004605188,0.1995
27028,1549971918,70,1.0,0.5004749999999999,0.0,0.9993889843318573,0.19975
27029,2032510724,70,1.0,0.53524,0.0,1.0056829215589211,0.201
27030,2829014317,70,1.0,0.463505,0.0,0.9915511836720403,0.19825
