seed,frequency.all.burden_0p5_accounts,frequency.all.burden_0p5_fraction_of_universe,frequency.all.planted_background_percentile_median,frequency.all.top_0p01_planted_capture,frequency.all.top_0p05_planted_capture,frequency.freq_7_9.planted_background_percentile_median,frequency.freq_eq_8.background_accounts_strictly_above_planted_median_score,frequency.freq_eq_8.fraction_planted_above_background_p95,frequency.freq_eq_8.fraction_planted_above_background_p99,frequency.freq_eq_8.planted_background_percentile_median,frequency.freq_eq_8.planted_background_percentile_q25,frequency.freq_eq_8.planted_background_percentile_q75,population.n_historical_background_accounts,population.n_historical_frequency_7_9,population.n_historical_frequency_eq_8,population.n_planted_accounts,predictive_centered_w1.all.burden_0p5_accounts,predictive_centered_w1.all.burden_0p5_fraction_of_universe,predictive_centered_w1.all.planted_background_percentile_median,predictive_centered_w1.all.top_0p01_planted_capture,predictive_centered_w1.all.top_0p05_planted_capture,predictive_centered_w1.freq_7_9.planted_background_percentile_median,predictive_centered_w1.freq_eq_8.background_accounts_strictly_above_planted_median_score,predictive_centered_w1.freq_eq_8.fraction_planted_above_background_p95,predictive_centered_w1.freq_eq_8.fraction_planted_above_background_p99,predictive_centered_w1.freq_eq_8.planted_background_percentile_median,predictive_centered_w1.freq_eq_8.planted_background_percentile_q25,predictive_centered_w1.freq_eq_8.planted_background_percentile_q75,raw_w1.all.burden_0p5_accounts,raw_w1.all.burden_0p5_fraction_of_universe,raw_w1.all.planted_background_percentile_median,raw_w1.all.top_0p01_planted_capture,raw_w1.all.top_0p05_planted_capture,raw_w1.freq_7_9.planted_background_percentile_median,raw_w1.freq_eq_8.background_accounts_strictly_above_planted_median_score,raw_w1.freq_eq_8.fraction_planted_above_background_p95,raw_w1.freq_eq_8.fraction_planted_above_background_p99,raw_w1.freq_eq_8.planted_background_percentile_median,raw_w1.freq_eq_8.planted_background_percentile_q25,raw_w1.freq_eq_8.planted_background_percentile_q75,source_summary,source_summary_sha256
0,907,0.0005406687840376931,0.9999066258087458,1.0,1.0,0.7323369565217391,0,0.0,0.0,0.5,0.5,0.5,1676052,368,93,1500,4836,0.0028827720392572034,0.9974586110693463,0.724,0.928,0.9605978260869565,5,0.5,0.112,0.9516129032258065,0.7526881720430108,0.978494623655914,811,0.00048344254008221506,0.9999636049478179,1.0,1.0,0.9646739130434783,4,0.572,0.088,0.956989247311828,0.7956989247311828,0.978494623655914,artifacts/amazon/stage10_ranking_full_background/seed_000/summary.json,ce4610b1de9812f9d991dd7a39793d8df4f9cef79ee410a5b7a2bf226b568de3
1,907,0.0005406507360479921,0.9999063306183134,1.0,1.0,0.7219101123595506,0,0.0,0.0,0.5,0.5,0.5,1676108,356,94,1500,4644,0.0027682271424552102,0.997674970825269,0.74,0.912,0.9578651685393258,6,0.388,0.176,0.9361702127659575,0.776595744680851,0.9574468085106383,803,0.0004786577078793139,0.9999683791259274,1.0,1.0,0.9634831460674157,6,0.304,0.204,0.9361702127659575,0.7978723404255319,0.9574468085106383,artifacts/amazon/stage10_ranking_full_background/seed_001/summary.json,90191912f3efa37a97d61ac8c2fc9f691da1b9fe93208f9b86938fcf1e8d0825
2,907,0.0005407064953336493,0.9999066192901276,1.0,1.0,0.7356164383561644,0,0.0,0.0,0.5,0.5,0.5,1675935,365,99,1500,6324,0.003770041760187429,0.9966740953557268,0.704,0.924,0.9205479452054794,13,0.284,0.164,0.8686868686868687,0.7272727272727273,0.9696969696969697,824,0.000491226187601904,0.9999555472020096,1.0,1.0,0.9452054794520548,10,0.256,0.192,0.898989898989899,0.7777777777777778,0.9595959595959596,artifacts/amazon/stage10_ranking_full_background/seed_002/summary.json,52226d25c589596c1a4218f1f0f809519043bf769b08bf39e35d822484e68dd2
3,906,0.0005400575465292957,0.999907225050549,1.0,1.0,0.7354570637119113,0,0.0,0.0,0.5,0.5,0.5,1676099,361,97,1500,4673,0.002785528603677041,0.9976504967785316,0.7333333333333333,0.908,0.9584487534626038,5,0.252,0.12,0.9484536082474226,0.7628865979381443,0.9587628865979382,804,0.00047925636579420944,0.9999671857091974,1.0,1.0,0.9598337950138505,7,0.428,0.084,0.9278350515463918,0.8041237113402062,0.9690721649484536,artifacts/amazon/stage10_ranking_full_background/seed_003/summary.json,857fa71be9700206b5a5760e97ffe5c5e2dec6c558a21134f109e2a019c7cb89
4,906,0.0005400762187034475,0.9999072218400386,1.0,1.0,0.7293956043956044,0,0.0,0.0,0.5,0.5,0.5,1676041,364,95,1500,5265,0.0031385223967700343,0.9973019753096732,0.716,0.876,0.9381868131868132,9,0.304,0.14,0.9052631578947369,0.7578947368421053,0.9789473684210527,809,0.0004822534888864117,0.9999642013530696,1.0,1.0,0.9574175824175825,7,0.324,0.156,0.9315789473684211,0.8210526315789474,0.968421052631579,artifacts/amazon/stage10_ranking_full_background/seed_004/summary.json,3af7629f457fefad87830f95474e2ef8da1ee3b4fb13b86914fd654cca1fbac7
5,907,0.0005406562147746381,0.9999066279814163,1.0,1.0,0.7350543478260869,0,0.0,0.0,0.5,0.5,0.5,1676091,368,95,1500,4985,0.0029715228562861864,0.9974726909219129,0.768,0.928,0.9538043478260869,8,0.42,0.16,0.9157894736842105,0.8,0.9789473684210527,813,0.00048462348689281236,0.9999624125420398,1.0,1.0,0.9646739130434783,5,0.484,0.176,0.9473684210526315,0.8526315789473684,0.968421052631579,artifacts/amazon/stage10_ranking_full_background/seed_005/summary.json,00870957037b6c2439e5b14078c7457dc862baed957becb5cf69c4dc0db167b2
6,905,0.0005394666016524964,0.9999078207940776,1.0,1.0,0.7311977715877437,0,0.0,0.0,0.5,0.5,0.5,1676083,359,95,1500,5606,0.0033417124517833097,0.9970431058605094,0.712,0.904,0.9331476323119777,9,0.42,0.16,0.9052631578947369,0.7368421052631579,0.9789473684210527,815,0.00048581798933346366,0.9999609207897222,0.996,1.0,0.9665738161559888,6,0.412,0.192,0.9368421052631579,0.7789473684210526,0.968421052631579,artifacts/amazon/stage10_ranking_full_background/seed_006/summary.json,d6184c73f527dc9ebcc803036a7aada14223ad09c3685ff1f2b3d18a6f2c3296
7,907,0.0005406594376068876,0.9999066274243309,1.0,1.0,0.7276536312849162,0,0.0,0.0,0.5,0.5,0.5,1676081,358,93,1500,5092,0.0030353228845581824,0.9973903409202778,0.704,0.928,0.9497206703910615,4,0.504,0.264,0.956989247311828,0.7741935483870968,1.0,807,0.00048104979729741813,0.9999647988372877,1.0,1.0,0.9608938547486033,3,0.568,0.2,0.9623655913978495,0.8279569892473119,0.989247311827957,artifacts/amazon/stage10_ranking_full_background/seed_007/summary.json,71b8e8a4b09d8d7e811f0e470a0c5e74d7ff687aa69a4f8e7f6512e8d831931f
8,905,0.0005394752842826111,0.9999075209897521,1.0,1.0,0.7307692307692307,0,0.0,0.0,0.5,0.5,0.5,1676056,364,94,1500,3594,0.0021424023996814414,0.9982843652002081,0.76,0.952,0.9615384615384616,4,0.552,0.288,0.9574468085106383,0.7659574468085106,1.0,793,0.00047271149219459737,0.999974046213253,1.0,1.0,0.9684065934065934,2,0.532,0.324,0.9734042553191489,0.8191489361702128,1.0,artifacts/amazon/stage10_ranking_full_background/seed_008/summary.json,34abc399ebbdc2a4ceb93913b236af5864eeb52b9c0c451fe35e5d1efcc0b62b
9,908,0.000541244564456088,0.9999057343917332,1.0,1.0,0.725,0,0.0,0.0,0.5,0.5,0.5,1676115,360,94,1500,6082,0.003625384846940448,0.99680958645439,0.708,0.912,0.9333333333333333,9,0.456,0.208,0.9042553191489362,0.7340425531914894,0.9893617021276596,817,0.00048700089114606153,0.999959131682492,1.0,1.0,0.9611111111111111,5,0.456,0.252,0.9468085106382979,0.776595744680851,1.0,artifacts/amazon/stage10_ranking_full_background/seed_009/summary.json,5b2c6ec83222892d9cf05b1da97ec07ca4b0345ab18c1970157573bf2672e942
