seed,aggregate.max_abs_d_abs_mean,aggregate.mean_d_abs_mean,aggregate.mean_d_js,aggregate.mean_d_w1,aggregate.positive_d_js_fraction,aggregate.positive_d_w1_fraction,attack_world_sha256,feasible_item_universe,interpretation_guard,invariants.all_six_selected_ratings_change,invariants.exact_block_mean_preservation,invariants.frequency_exactly_matched_at_r8,invariants.item_block_slot_exposure_pairwise_matched,invariants.mean_based_paired_effect_exactly_zero,invariants.three_disjoint_sum_preserving_pairs,m,matched_twins.frequency_auc,matched_twins.js_counterfactual_score_auc,matched_twins.js_mean_paired_gap,matched_twins.js_paired_misordering_probability,matched_twins.js_positive_pair_fraction,matched_twins.js_raw_world_score_auc,matched_twins.mean_counterfactual_score_auc,matched_twins.mean_mean_paired_gap,matched_twins.mean_paired_misordering_probability,matched_twins.mean_positive_pair_fraction,matched_twins.mean_raw_world_score_auc,matched_twins.w1_counterfactual_score_auc,matched_twins.w1_mean_paired_gap,matched_twins.w1_paired_misordering_probability,matched_twins.w1_positive_pair_fraction,matched_twins.w1_raw_world_score_auc,n_account_pairs,n_items,reuse_r,selected_lambda,stage,_source_member
0,0.0,0.0,0.01780719366428941,0.03247063570803729,0.732,0.551,e9be1b92a9443f38d7dc9902110549ea05473625b7d236f4cfb3158b05588974,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.976,0.14245754931431528,0.024,0.976,0.92456,0.5,0.0,1.0,0.0,0.5,0.9,0.25976508566429835,0.1,0.9,0.604624,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_000/summary.json
1,0.0,0.0,0.017095733561100303,0.02922263851677776,0.709,0.5455,65586a53f380f5296d722086655dee6dd1544921c90e33722974216fdfb882c3,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.968,0.13676586848880243,0.032,0.968,0.912496,0.5,0.0,1.0,0.0,0.5,0.884,0.23378110813422207,0.116,0.884,0.60256,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_001/summary.json
2,0.0,0.0,0.017032138529239946,0.030138889739791452,0.7095,0.551,0456508c292fda54f81185c8bea8081649e804c2d61de8082a76a1c5f23e65f3,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.956,0.13625710823391957,0.044,0.956,0.904336,0.5,0.0,1.0,0.0,0.5,0.88,0.24111111791833165,0.12,0.88,0.602976,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_002/summary.json
3,0.0,0.0,0.016649644516077075,0.03074989107177147,0.7125,0.548,9a2cd0d642c94aadace37f673a49eeca09e23141cc6d453fdb6486963c0fba5e,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.972,0.13319715612861657,0.028,0.972,0.895632,0.5,0.0,1.0,0.0,0.5,0.92,0.24599912857417175,0.08,0.92,0.59816,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_003/summary.json
4,0.0,0.0,0.016674663178162356,0.03197137504076712,0.725,0.568,76f989263561496de34c1df087757080d306ab40e2a446b67982b78e332587d2,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.956,0.13339730542529885,0.044,0.956,0.899056,0.5,0.0,1.0,0.0,0.5,0.896,0.255771000326137,0.104,0.896,0.609696,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_004/summary.json
5,0.0,0.0,0.01870147030980403,0.03345499046735125,0.735,0.573,0a12dc25f3dde3d5eb722e9f6b1c5901d529f97f02c323527e9ca0c2a1d30e9f,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.984,0.14961176247843225,0.016,0.984,0.92496,0.5,0.0,1.0,0.0,0.5,0.88,0.26763992373881,0.12,0.88,0.6136,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_005/summary.json
6,0.0,0.0,0.017971950446756247,0.034045623630300864,0.736,0.5655,1cc6da47b4790b2803e68102189acaa14757e3581eef2c1a6a9875dfb8c229e4,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.944,0.14377560357404998,0.056,0.944,0.912752,0.5,0.0,1.0,0.0,0.5,0.912,0.27236498904240697,0.088,0.912,0.610384,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_006/summary.json
7,0.0,0.0,0.017103468269744633,0.03090404124108838,0.718,0.5525,a7d078f82a41c4bf232a041232d9fc48fc75e0bbe1b12eb9f3a4349c0eab1bec,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.972,0.13682774615795704,0.028,0.972,0.917984,0.5,0.0,1.0,0.0,0.5,0.916,0.24723232992870703,0.084,0.916,0.607056,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_007/summary.json
8,0.0,0.0,0.01763723732982936,0.032913288710478744,0.734,0.5585,6c19ac211cd83e301e95e5813ab00bbdad6b31a8f2b95d06be5caf81dfced838,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.968,0.14109789863863484,0.032,0.968,0.91696,0.5,0.0,1.0,0.0,0.5,0.948,0.26330630968382995,0.052,0.948,0.619776,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_008/summary.json
9,0.0,0.0,0.01718592739352705,0.03331908735746747,0.7155,0.553,65a0c8a5ca366b68ef5dc8274497a0a36454e34373e5f9f4f894029c9a45d7a5,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.952,0.13748741914821644,0.048,0.952,0.892064,0.5,0.0,1.0,0.0,0.5,0.912,0.26655269885973976,0.088,0.912,0.61472,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_009/summary.json
10,0.0,0.0,0.018033224033062886,0.033600000647701946,0.746,0.553,dc8ddba0b5a26126378480edf53a76353a4da1987d6f555caf3e24d4f8f33a35,14690,Stage 6 is a controlled counterfactual shape-distortion experiment on real Amazon blocks. It tests distribution-sensitive evidence under exact mean preservation; it is not historical fraud labeling.,True,True,True,True,True,True,6,0.5,0.98,0.14426579226450312,0.02,0.98,0.926128,0.5,0.0,1.0,0.0,0.5,0.92,0.2688000051816156,0.08,0.92,0.608976,1500,2000,8,20.0,amazon_stage6_mean_preserving_shape_r8,stage6/seed_010/summary.json
