reference_length,lambda,predictive_signed_mean,predictive_abs_mean
60,0.0,0.08533716877575932,0.08533716877575932
60,5.0,0.07674655779037513,0.07674655779037513
60,10.0,0.07257640974370512,0.07257640974370512
60,20.0,0.07125913441653103,0.07125913441653103
60,40.0,0.07928880662957556,0.07928880662957556
60,80.0,0.10048697595812288,0.10048697595812288
60,160.0,0.1289598989995331,0.1289598989995331
90,0.0,0.06855290334484626,0.06855290334484626
90,5.0,0.06418508415609758,0.06418508415609758
90,10.0,0.06181081871609665,0.06181081871609665
90,20.0,0.060733495010284994,0.060733495010284994
90,40.0,0.06577565056204965,0.06577565056204965
90,80.0,0.08268270494032137,0.08268270494032137
90,160.0,0.11031379294434533,0.11031379294434533
120,0.0,0.05411228845520279,0.05411228845520279
120,5.0,0.0516179249603981,0.0516179249603981
120,10.0,0.05025075865063148,0.05025075865063148
120,20.0,0.049774518406760476,0.049774518406760476
120,40.0,0.05381433115646916,0.05381433115646916
120,80.0,0.06811427470092477,0.06811427470092477
120,160.0,0.09456477706051178,0.09456477706051178
