seed,reference_length,selected_lambda,mean_d_cf,counterfactual_score_auc,positive_pair_fraction,paired_misordering_probability,mean_paired_score_gap
0,60,20.0,0.033522098028547664,0.608,0.608,0.392,0.2681767842283813
0,90,20.0,0.05757916032242026,0.68,0.68,0.32,0.46063328257936215
0,120,20.0,0.0771610709789901,0.74,0.74,0.26,0.6172885678319207
1,60,20.0,0.03325220014828566,0.616,0.616,0.384,0.2660176011862853
1,90,20.0,0.05463321621127102,0.676,0.676,0.324,0.4370657296901681
1,120,20.0,0.07377726996674625,0.712,0.712,0.288,0.5902181597339698
2,60,20.0,0.023127345766924844,0.536,0.536,0.464,0.18501876613539875
2,90,20.0,0.04303408549425641,0.64,0.64,0.36,0.3442726839540513
2,120,20.0,0.06317213708116545,0.716,0.716,0.284,0.5053770966493236
3,60,20.0,0.035678132134246525,0.624,0.624,0.376,0.28542505707397225
3,90,20.0,0.05820167798447899,0.696,0.696,0.304,0.465613423875832
3,120,20.0,0.07508399204622003,0.732,0.732,0.268,0.6006719363697602
4,60,20.0,0.028209036223303254,0.588,0.588,0.412,0.22567228978642603
4,90,20.0,0.047963002650197824,0.632,0.632,0.368,0.38370402120158253
4,120,20.0,0.06546819009976136,0.672,0.672,0.328,0.5237455207980909
5,60,20.0,0.0412725522200175,0.64,0.64,0.36,0.33018041776014
5,90,20.0,0.06454496326640922,0.736,0.736,0.264,0.5163597061312738
5,120,20.0,0.08355336580225128,0.792,0.792,0.208,0.6684269264180103
6,60,20.0,0.032502618735198115,0.572,0.572,0.428,0.2600209498815849
6,90,20.0,0.056654379453499354,0.652,0.652,0.348,0.4532350356279948
6,120,20.0,0.07590611228713467,0.724,0.724,0.276,0.6072488982970775
7,60,20.0,0.04026104888092343,0.612,0.612,0.388,0.32208839104738746
7,90,20.0,0.06121657126859714,0.676,0.676,0.324,0.4897325701487771
7,120,20.0,0.07947346627987431,0.708,0.708,0.292,0.6357877302389946
8,60,20.0,0.05381299819710256,0.668,0.668,0.332,0.4305039855768206
8,90,20.0,0.07428904984686525,0.7,0.7,0.3,0.5943123987749221
8,120,20.0,0.0926353089766919,0.78,0.78,0.22,0.741082471813535
9,60,20.0,0.04511338531332011,0.628,0.628,0.372,0.3609070825065609
9,90,20.0,0.0670304113269933,0.7,0.7,0.3,0.5362432906159463
9,120,20.0,0.08301219832329017,0.744,0.744,0.256,0.6640975865863212
10,60,20.0,0.035272719574772245,0.616,0.616,0.384,0.28218175659817796
10,90,20.0,0.056542592506386276,0.664,0.664,0.336,0.45234074005109026
10,120,20.0,0.07649232873236346,0.728,0.728,0.272,0.6119386298589078
